organisation_name,organisation_id,Your organisation has a clearly defined digital strategy  which is aligned to clinical and corporate objectives.,"Implementation of the digital strategy is fully aligned to, and  supported by, a service transformation programme(s).",There are processes in place to scrutinise and evaluate investment in digital technology and support ideas through to implementation.,Digital technology is used to support improved collaboration and coordination across different parts of your organisation.,Your organisation participates in an initiative across your health and care community to achieve digital record sharing.,Your Board owns the organisation's digital strategy and receives regular updates about progress.,The team leading the organisation's digital transformation includes a board-level sponsor.,"You have clinical leadership, represented by a board-level or equivalent position, involved in the digital agenda.",Your CCIO or equivalent has protected time as part of his/her job plan to undertake the requirements of the role within your organisation.,Your organisation monitors emerging healthcare digital technology trends to keep the digital strategy up to date.,Your organisation engages with health and care professionals to ensure digital solutions meet evolving organisational needs.,You have recognised and engaged digital leadership throughout all levels of the organisation.,Your organisation takes an active role in helping patient and service users? improve their access to and use of digital services.,"Your organisation has the buying, contracting, and supplier management capability it needs to manage technology suppliers.",Commercial suppliers are involved in qualitative and quantitative benefits identification.,Your organisation plans and makes resources available for technology implementation and change management.,Your organisation has a clinical safety officer and routinely undertakes assessments of clinical safety and risk for all digital projects.,There is financial strategy to support the investment in digital technology you require over the next 2-3 years.,"There is a Board-led digital programme(s), supported by effective operational IT delivery.",Projects and programmes follow standard project management methodologies to allocate roles and responsibilities.,Digital projects are underpinned by valid business cases and fully-engaged business owners.,"Following deployment, your organisation evaluates the benefits of digital projects using a consistent approach.",Your organisation adopts industry recognised principles outlined in best practice guidelines relating to digital services.,Clinical governance is embedded throughout the lifecycle of digital projects.,"Your current accredited IG Toolkit score is pre-filled in the adjacent field (in %). If it is not correct, please enter the correct score in its place:",Governance structures are in place to manage key information risks and cyber threats.,Your organisation monitors and actively supports your workforce's understanding of and adherence to information governance policies and processes.,You receive assurance on a regular basis that your suppliers and digital assets are secure.,Third party contracts specify Information Governance requirements and include central guidance concerning the handling of personal data.,Processes are in place to monitor third party compliance with legal requirements when handling personal data.,What proportion of each of the following types of records is available digitally in your organisation:  -Clinical Notes,What proportion of each of the following types of records is available digitally in your organisation:  -Clinical Observations,What proportion of each of the following types of records is available digitally in your organisation:  -Care Plans,In what format are each of the following types of records held in your organisation:  -Clinical Notes,In what format are each of the following types of records held in your organisation:  -Clinical Observations,In what format are each of the following types of records held in your organisation:  -Care Plans,Health and care professionals can access digital records (or relevant components of them) at the point of need as part of their regular day-to-day routine.,Health and care professionals can update digital records (or relevant components of them) at the point of need as part of their regular day-to-day routine.,"When using digital records, health and care professionals can find what they need quickly and easily.",Health and care professionals use digital systems to record relevant patient and service user information at the point of collection.,Information is collected/recorded once.,Health and care professionals rely on digital records for the information they need at the point of need.,Health and care professionals have digital access at the point of care to the information they need from other local healthcare providers.,Health and care professionals in your organisation have digital access to the information they need from local social care providers.,Other local healthcare providers have digital access to the information they need from your organisation.,Local social care providers have digital access to information from your organisation.,Health and care professionals have access to a consolidated view of their patients' and service users' local health and care records.,Health and care professionals can contribute to a consolidated view of their patients' and service users' local health and care records.,Patients and service users are able to view and download information from their digital care record.,What proportion of information shared with health and care providers outside your organisation is provided in a structured or semi-structured digital format?,Information captured during a consultation in the community is automatically uploaded to the patients' and service users' records.,All Mental Health Act information is presented to relevant staff members by the electronic patient record or other digital methods.,Which percentage of the patients' and service users' records can community staff access?,What proportion of referrals received for non-urgent assessment are automatically integrated into digital workflows?,What proportion of referrals for urgent assessment are automatically integrated into digital clinical workflows?,What proportion handovers of care within your organisation is shared digitally when a patient or service user moves between services or departments?,Discharge summaries are routinely sent digitally to all other local healthcare providers.,New discharge summaries are created in a structured digital format.,Discharge summaries are created in a consistent format across the organisation.,The information held in patients' records is used to pre-populate discharge summaries and letters to avoid re-keying.,What proportion of discharge summaries are generated in real time and shared digitally with other relevant care providers as soon as completed?,"At inpatient and day case discharge, what proportion of discharge summaries are shared digitally with GPs?","At outpatient appointment, what proportion of letters are shared digitally with GPs?","At AE patient discharge, what proportion of discharge summaries are shared digitally with GPs?",What proportion of your discharge summaries for out of local area patients and service users are shared digitally with GPs?,What  proportion of referrals to tertiary care are completed digitally?,What proportion of patient consultations do health and care professionals request digitally from colleagues or other specialties?,What proportion of laboratory tests are requested through a digital order system?,What proportion of radiology tests are requested through a digital order system?,What proportion of requests for any other diagnostic tests are made through a digital order system?,Digital orders are created in a structured format and held as part of the patients' and service users' digital care record.,Digital orders are pre-populated with information held in patient and service users' digital record.,"When making diagnostic test requests, health and care professionals have access to department, speciality or organisation level request/order sets.",Health and care professionals are alerted of duplicate test requests.,What proportion of inpatients are positively identified at the point of sample collection and specimen labelling prior to all diagnostic tests being performed?,"Requests received by diagnostic services are automatically integrated into digital workflows to enable booking, triaging or scheduling.",Health and care professionals can track the status of requests to diagnostic services through to completion.,What proportion of laboratory test results are available to health and care professionals digitally?,What proportion of radiology test results are available to health and care professionals digitally?,What proportion of results from any other diagnostic tests are available to health and care professionals digitally?,Health and care professionals have digital access to all relevant diagnostic test results and images for patients and service users under their care.,Digital results are held in a structured format to enable clinical decision support and data extraction.,Health and care professionals are automatically alerted of all results that require acknowledgement by them.,Health and care professionals can digitally access diagnostic test results and images quickly and easily at the point of care.,Health and care professionals use digital systems to get a complete view of patients medications/prescriptions referring to the whole episode of care.,What proportion of inpatient medications are prescribed digitally in your organisation?,What proportion of discharge medications are prescribed digitally in your organisation?,What proportion of outpatient medications are prescribed digitally in your organisation?,"Digital prescribing is routinely performed across all specialties, departments and sites.",Complex medicines including infusions are routinely prescribed digitally.,"When prescribing, health and care professionals have access to medication order sets.","When prescribing digitally, health and care professionals are alerted of all of the following CDS categories: drug: drug interactions, allergy intolerance, duplication of therapeutic class of drug, out of range doses (for at least a selection of medicines).",Digital prescribing supports health and care professionals in the calculation of medication doses.,Completion of a digital patient risk assessment form for Venous Thromboembolism offers best practice guidance and prompts prescription of appropriate medications.,Medicines and infusions are automatically scheduled for administration &and their administration is digitally recorded.,"Your organisation routinely digitally monitors prescribed medications administered early, late or not administered at all, and reviews the reasons recorded.",Medication administration is supported in your organisation by the use of positive identification of patients and medicines using appropriate digital technologies.,Monitoring of patients and service users on high risk medicines are supported by the digital availability of relevant laboratory results within the system to aid clinical decision making.,"Your organisation routinely digitally monitors system-related medication adverse events and governance arrangements are in place to analyse, learn from and mitigate such issues.",Antibiotics are routinely prescribed digitally based on local or national formulary guidelines and antimicrobial stewardship is supported using decision support .,The system supports alerting for the percentage of BNF maximum dose for antipsychotics and cumulative percentage of all prescribed antipsychotic items.,The system has the ability to identify according to locally defined rules categories of patients and service users during their episode of care that might be considered high-risk and requiring clinical pharmacy input.,What proportion of chemotherapy (SACT drugs) is prescribed digitally to adults in your organisation?,What proportion of chemotherapy &(SACT drugs) is prescribed digitally to children in your organisation?,Health and care professionals receive digital alerts to the existence of patient and service user preferences.,Health and care professionals receive digital alerts to specific patient and service user risks.,"Digital systems alert health and care professionals of patients and service users whose clinical observations, or early warning scores, are deteriorating and need review.",Digital systems alert health and care professionals outside your organisation to relevant operational information about their patients and service users.,Your organisation monitors the overruling of decision support prompts and the reasons recorded.,"Health and care professionals are directed to relevant, up to date and evidence-based reference material as part of digital clinical workflows and care pathways.","Digital systems provide automatic prompts for the next action required by multi-step care plans, pathways  protocols.",Healthcare professionals are prompted to complete or remind patients about overdue care actions and/or missing information.,Digital systems identify patients who are ready for discharge to a different setting.,"Digital systems supports patient discharge, social care notifications and multidisciplinary discharge planning.",Alerts support staff members in tracking Mental Health Act deadlines.,Digital systems support your triage and pathway allocation processes to enable effective and evidence based pathways of care.,Remote/virtual clinical consultations and clinical advice are available to patients and service users.,Health and care professionals are able to contribute remotely to discussions about patient and service user care with colleagues outside your organisation.,Your organisation is able to remotely monitor patients or service users whose condition is at high risk of deterioration.,Remote/virtual delivery of treatment is available for low intensity interventions.,Patients and service users can use digital services to help manage their own condition at home.,You have clear governance and consent agreements around the use of remote and assistive care technologies.,Your organisation uses digital systems to manage inpatient beds.,Patient flow is tracked digitally in real time to identify bottlenecks and delays within your organisation.,Your organisation uses digital systems to track the location of key clinical assets.,Your organisation uses digital systems to manage staff rostering.,Relevant data from monitoring devices is uploaded into patient and service user records or charts automatically.,Staff working in the community can perform all patient and service user care tasks without returning to base.,Location tracking is used for dynamic worklist management of staff working in the community.,Your organisation's data is available to local population health initiatives to support the identification of patient cohorts.,Outputs from local population health initiatives support the organisation's ongoing service design and prevention activities.,Management have access to real time or near real time dashboards displaying information about the performance of the services they manage.,Health and care professionals have access to real time or near real time information about the caseload/patients under their care.,Data quality information is actively monitored and fed back to clinical teams.,Data collected as part of caring activities is used to build capacity and demand forecasting models.,The data collected as part of caring activities is routinely used for clinical audits.,The data collected as part of caring activities is routinely used for revalidation.,The analysis of administrative and clinical datasets supports the improvement of services.,The data held in your organisation's digital records supports internal and external research.,"Your organisation accesses 111 and 999 services data to support triaging, service planning and intervention.",For what proportion of patients and service users is a verified NHS number included on information shared with other care provider or organisations directly involved in a patients care and treatment?,Health and care professionals in your organisation use SNOMED CT to record clinical patient information at the point of collection in digital systems.,"dm+d (Dictionary of Medicines and Devices, national standard 0052) is used to describe medicines and devices.",Discharge summaries and outpatient letters meet the Academy of Medical Royal Colleges/PRSB's headings for clinical structure and content.,"Patients' and service users' end-of-life preferences are recorded and, when appropriate, shared in accordance with the Palliative Care Co-ordination: Core Content (SCCI1580) national standard.","Where there is a need to electronically identify patients and service users, products and places the mechanism used is compliant with GS1.",Health and care professionals have wi-fi access to clinical applications across your estate.,Free wi-fi is available in public areas across your estate.,Health and care professionals are equipped with mobile devices to access clinical applications and information at the point of care.,Health and care professionals have single sign-on access and authentication to clinical applications.,Digital systems meet users' expectations regarding the time it takes to log-in to clinical applications and update/retrieve information.,Software used on NHS-owned IT infrastructure is approved and recorded on a software asset and licence register that confirms it is appropriately licensed for such use.,Digital services are supported by an IT support Service Desk that prioritises incidents using a consistent approach agreed with nominated service users/owners.,The IT support Service Desk follows an ITIL-aligned (or equivalent) Incident Management process that lets users track issues through to resolution.,"Business-critical digital services are supported by documented disaster recovery processes, with clear roles and responsibilities assigned.",Disaster recovery processes for critical systems have been tested and audited.,Business-critical digital services are supported by IT infrastructure with multi-data-centre redundancy.,Software license expiries are monitored and the organisation plans forward to ensure the IT environment is adequate and sustainable.,Digital systems meet users expectations regarding repair and substitution times.,Your clinical information systems' key clinical data fields are accessible as structured information via open interfaces.,What proportion of your corporate and departmental operational information systems have their patient demographic data aligned to the data held on the Patient Demographic Service (PDS) on the NHS Spine?,What proportion of software installed on devices is still being maintained and updated by its supplier?
North Cumbria University Hospitals NHS Trust,RNL,75,50,50,50,100,100,100,100,100,25,75,25,25,50,50,25,75,0,75,75,75,75,75,75,85,75,75,75,100,75,40,20,40,50,50,100,75,25,50,25,25,25,75,0,25,25,50,0,0,20,75,75,20,0,,40,25,75,75,25,0,0,0,0,0,0,20,80,60,0,100,100,50,0,0,0,25,,,,25,25,0,75,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,,,0,50,0,0,50,75,0,0,25,75,0,0,0,50,,,,75,0,25,0,50,50,50,25,50,50,75,75,100,100,25,85,0,0,50,50,0,75,0,25,25,25,75,100,100,100,100,25,50,50,50,80,
North East London NHS Foundation Trust,RAT,100,100,100,100,100,100,100,100,100,100,100,100,75,100,75,100,100,100,100,100,100,100,75,100,69,100,100,100,100,100,100,100,100,50,50,50,100,100,100,100,75,75,25,75,25,50,25,50,25,60,100,100,100,40,20,80,75,75,75,75,20,0,0,,20,20,0,0,0,0,,,,,20,,25,100,100,100,75,50,75,75,50,0,20,20,,,25,50,50,50,25,50,0,75,50,50,0,25,,0,25,50,25,25,50,75,50,50,50,75,100,100,75,75,50,75,50,75,100,50,50,100,50,100,50,100,75,100,100,100,75,100,100,75,100,0,100,50,50,100,100,0,100,100,100,100,75,100,100,100,100,100,100,100,100,50,100,
North Middlesex University Hospital NHS Trust,RAP,75,75,75,75,100,75,100,100,100,75,75,25,25,25,25,25,25,75,50,25,50,25,25,25,74,75,75,75,50,75,20,20,20,50,50,50,75,75,50,25,0,75,0,0,0,0,25,25,0,20,,,,60,40,60,75,75,75,25,80,60,40,60,0,20,20,80,100,0,75,75,75,25,100,75,25,100,100,80,25,75,25,75,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,80,0,25,25,0,0,25,0,0,25,50,75,,0,0,0,0,,0,0,100,75,0,25,0,,,0,25,0,25,25,25,50,0,50,25,25,85,0,0,75,75,50,75,100,25,0,25,75,50,25,75,100,25,75,25,0,,
North Staffordshire Combined Healthcare NHS Trust,RLY,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73,100,100,100,100,100,100,80,100,100,100,100,100,75,100,75,75,100,100,100,100,50,25,25,0,60,,100,,60,100,100,50,100,100,75,40,0,0,,0,0,20,20,20,,0,0,75,100,0,,75,40,40,0,100,100,75,75,25,20,20,0,,,25,25,25,100,25,25,0,25,25,,,25,,0,100,100,100,0,25,25,100,100,100,100,100,100,25,25,25,25,,75,100,100,0,100,0,,,100,100,75,75,100,100,100,100,75,100,,100,100,75,100,100,,100,100,75,100,75,100,100,100,75,100,100,100,75,100,100,
North Tees and Hartlepool NHS Foundation Trust,RVW,75,50,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,60,60,60,100,100,100,100,100,100,75,75,25,100,25,100,0,25,0,0,80,100,,100,100,100,100,100,100,100,100,100,100,20,100,20,0,20,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,75,80,100,100,50,100,100,100,75,75,50,50,25,75,25,100,,100,100,,100,100,75,100,75,100,100,100,100,100,,100,100,100,100,,100,100,100,100,100,100,,100,,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,75,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,
North West Anglia NHS Foundation Trust,RGN,75,50,75,75,100,100,100,100,100,100,100,75,75,100,50,75,50,100,100,75,75,50,100,75,69,100,100,75,75,75,60,80,0,50,50,,75,50,25,75,25,75,25,25,25,25,25,25,25,20,,,,100,20,40,75,75,75,25,40,80,100,80,60,0,60,80,80,80,75,50,75,50,40,25,75,100,100,100,50,75,25,75,25,0,80,20,,,0,25,25,50,0,0,0,0,100,0,,,100,100,25,100,100,25,75,25,25,25,50,100,,50,25,25,0,,0,75,100,75,25,50,50,,,25,,100,100,75,50,75,75,100,75,0,100,0,50,75,75,0,75,50,50,25,50,100,100,75,75,75,75,75,75,75,60,
North West Boroughs Healthcare NHS Foundation Trust,RTV,100,75,100,75,100,100,100,100,100,100,100,100,50,100,75,75,75,75,100,75,100,75,75,75,70,75,75,75,75,50,100,100,100,50,100,100,75,50,75,75,75,75,50,25,25,75,25,25,0,20,50,100,60,20,20,80,25,50,50,75,20,20,20,,0,0,20,0,0,0,,,,,0,,50,80,20,80,50,75,25,50,75,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,50,,,25,75,0,0,25,50,50,25,0,25,50,75,25,0,0,75,0,50,75,25,0,75,0,75,0,50,,75,75,75,50,75,75,50,75,0,100,25,75,50,75,0,100,50,75,25,50,75,100,100,75,50,100,75,75,75,80,
Northampton General Hospital NHS Trust,RNS,75,75,75,100,100,75,75,75,,75,75,75,25,75,75,50,75,75,75,75,75,50,75,50,82,75,75,75,75,75,60,100,20,50,100,0,75,75,75,50,75,25,50,0,100,25,0,0,0,100,,,,60,100,40,100,100,100,100,100,100,100,0,100,40,100,100,100,100,100,75,100,0,100,100,100,100,100,100,75,75,50,100,50,40,100,0,25,25,75,75,75,50,75,100,,75,100,25,,75,100,60,25,50,100,50,75,25,25,25,75,50,,75,75,75,25,,0,0,75,25,25,75,75,,,25,25,25,75,25,75,75,75,75,75,25,85,25,25,75,50,75,100,25,100,75,75,100,100,100,75,75,100,50,75,25,100,
Northamptonshire Healthcare NHS Foundation Trust,RP1,75,75,75,75,100,75,100,75,50,75,75,50,50,100,75,100,100,75,75,100,75,75,75,100,89,75,75,75,75,75,100,100,100,50,100,100,75,75,75,75,75,75,75,50,75,50,50,75,25,60,75,100,100,100,100,100,75,100,100,100,80,80,80,,100,,80,80,80,,75,75,50,50,,,75,80,80,,75,75,50,75,50,0,0,0,,,0,0,0,,0,0,0,0,75,0,0,0,,0,75,100,50,75,75,100,75,75,50,75,100,75,50,50,25,25,0,50,100,75,25,75,25,75,25,50,50,100,100,50,75,75,50,100,75,,100,25,75,50,50,50,75,75,75,75,75,100,100,100,50,50,75,75,75,50,100,80
Northern Devon Healthcare NHS Trust,RBZ,100,100,100,75,100,100,100,100,75,100,100,100,75,100,100,100,100,100,100,100,100,75,100,100,81,100,100,75,75,75,40,40,60,50,50,100,75,75,75,75,100,75,50,75,75,75,0,0,0,100,100,,100,60,60,40,100,100,100,75,100,100,0,100,20,,60,60,0,0,100,100,100,100,0,75,0,100,100,,75,50,25,100,25,0,100,0,,,25,25,75,100,25,0,0,25,0,0,,,100,,75,75,50,100,25,25,25,25,100,75,,50,75,75,25,,50,50,100,100,25,75,25,100,0,100,100,25,100,75,75,75,25,100,50,25,100,0,0,100,100,100,100,100,100,50,75,100,100,100,100,50,100,50,75,75,80,
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,75,50,75,50,75,75,75,25,75,75,50,25,25,25,50,25,25,50,50,50,50,25,50,25,66,75,50,50,75,25,60,100,40,50,100,50,75,75,75,50,75,50,50,25,75,75,25,25,50,80,75,,60,40,40,80,75,75,75,50,80,80,0,100,20,40,40,80,100,60,100,75,100,100,100,50,100,100,100,80,75,100,50,100,50,0,0,0,,,0,0,0,,0,0,0,50,0,0,0,0,100,0,50,100,100,25,25,75,50,50,100,50,,50,25,50,25,,25,25,100,75,50,100,25,75,25,75,75,50,50,25,75,50,75,75,50,50,100,25,25,0,25,25,75,50,75,25,50,75,100,25,50,25,75,75,75,25,80,
"Northumberland, Tyne and Wear NHS Foundation Trust",RX4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,75,75,100,72,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,75,100,75,75,50,75,25,0,0,40,100,100,100,20,20,100,50,100,100,100,20,20,20,,20,20,20,20,20,20,25,25,25,25,,,100,100,100,0,75,100,100,75,100,0,0,20,,,0,50,50,0,0,0,0,0,75,0,0,0,,,75,75,0,0,,0,0,0,100,100,100,100,50,100,0,50,0,50,100,100,,100,0,100,,100,100,100,100,100,100,100,100,100,100,0,100,50,25,100,,,100,75,100,100,100,100,100,100,100,100,100,100,100,75,100,
Northumbria Healthcare NHS Foundation Trust,RTF,75,75,75,100,100,75,100,100,75,75,75,75,25,50,75,25,75,100,50,75,75,100,75,75,94,75,100,100,75,75,40,40,20,50,100,100,75,50,50,25,25,25,50,25,50,50,25,0,0,20,75,50,100,0,0,60,0,25,25,25,20,80,20,0,40,0,20,100,100,20,75,0,75,50,20,0,75,100,100,20,75,50,25,50,50,40,100,20,25,25,25,75,75,75,25,0,0,25,0,25,0,25,100,,0,50,75,25,75,25,50,25,50,25,0,25,25,100,0,0,25,75,50,0,50,75,0,75,0,100,100,75,25,75,75,50,50,100,75,25,100,50,0,75,75,0,100,25,75,25,25,100,100,100,100,100,25,50,0,25,80,
Nottingham University Hospitals NHS Trust,RX1,100,100,100,100,100,100,100,100,100,100,100,100,75,100,75,75,100,100,100,100,100,75,100,100,81,100,100,50,100,50,60,100,60,50,100,50,100,75,50,75,50,100,75,25,75,50,50,75,0,80,,,,80,80,100,100,100,100,100,100,100,100,100,80,20,80,80,80,100,100,100,100,100,,75,75,100,100,100,100,100,25,75,50,20,100,20,25,25,50,25,25,75,0,0,50,25,50,0,0,0,100,100,25,75,100,0,0,75,0,75,100,100,,100,50,100,50,,25,100,100,100,50,100,0,,,75,75,75,100,100,75,75,100,100,75,25,100,25,,75,75,100,100,50,100,75,50,100,100,100,100,100,100,100,75,75,100,100
Nottinghamshire Healthcare NHS Foundation Trust,RHA,75,50,75,50,100,100,100,75,100,75,75,50,50,75,50,50,,100,75,75,75,25,75,75,87,100,75,50,75,50,100,20,80,50,100,50,100,100,50,75,25,50,50,25,50,50,25,25,0,40,50,75,100,40,20,80,50,50,50,75,20,20,0,,20,0,40,0,0,0,,,,,0,,0,20,0,20,25,75,0,25,25,0,20,0,,,0,25,25,25,0,0,0,0,75,0,0,0,,,25,75,25,50,0,25,0,25,0,25,25,0,25,25,0,0,25,50,25,25,0,100,0,75,0,75,50,25,100,75,50,100,50,100,100,0,85,0,,75,75,0,75,25,100,0,50,100,100,75,75,100,75,100,100,25,100,
Oxford Health NHS Foundation Trust,RNU,100,75,100,75,100,100,100,100,100,100,100,50,75,75,75,100,100,100,100,100,75,75,100,100,75,100,75,75,100,100,100,100,100,50,50,50,75,75,75,75,25,100,25,25,25,25,25,0,0,20,75,75,100,0,0,100,25,25,50,75,20,80,20,,20,20,20,20,20,20,0,25,50,0,0,0,50,,,,75,75,0,75,25,0,0,20,,,0,0,0,75,0,0,0,75,0,0,0,0,,,50,100,75,25,0,25,25,50,50,25,0,0,75,75,25,75,75,75,75,0,0,75,0,75,0,75,75,25,100,75,50,75,75,75,75,75,100,0,0,75,75,0,100,75,100,0,75,100,100,100,100,75,100,100,100,0,100,100
Oxford University Hospitals NHS Foundation Trust,RTH,100,75,75,75,100,100,100,100,100,75,75,100,75,100,75,75,100,100,75,75,75,75,75,75,99,75,75,75,100,75,40,100,40,50,100,100,100,100,75,75,75,75,75,0,75,25,75,50,0,40,,,,100,100,80,75,100,100,100,100,100,100,100,100,40,40,100,100,40,100,100,100,75,80,100,100,100,100,80,100,100,100,75,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,75,75,100,100,75,100,100,50,75,75,75,75,75,75,,50,75,75,50,,25,75,75,50,75,100,75,,,75,50,50,75,75,75,75,75,75,75,75,100,100,100,100,75,100,100,100,75,100,75,100,100,100,75,75,75,75,75,75,100,
Oxleas NHS Foundation Trust,RPG,75,75,100,100,100,100,75,100,100,100,100,75,75,75,50,75,75,75,75,100,100,75,75,75,90,100,75,100,75,100,100,80,100,50,50,50,100,100,75,100,75,100,75,25,75,25,25,75,0,100,100,100,100,60,0,100,100,75,100,75,40,100,100,,20,0,20,,,80,,,,,20,25,25,100,80,,75,25,0,75,0,60,0,100,,,,75,0,0,0,0,0,0,0,0,0,0,100,60,0,75,25,75,0,25,0,75,75,50,25,75,50,75,25,75,25,100,75,25,100,100,0,100,0,,,75,100,75,25,100,75,75,75,0,100,25,0,75,75,0,100,25,100,75,100,100,75,100,100,100,75,100,75,0,,
Papworth Hospital NHS Foundation Trust,RGM,75,75,100,100,100,100,100,100,100,75,100,75,50,100,100,75,75,50,100,100,75,100,75,100,74,75,75,75,25,75,40,80,40,50,50,50,75,50,0,25,0,25,25,0,25,0,0,0,0,20,,,,80,60,60,0,0,0,0,0,100,0,,0,100,80,100,100,20,100,75,100,100,100,75,75,100,100,100,75,50,50,75,100,100,100,100,100,100,100,100,25,100,100,100,100,100,100,100,0,0,,,0,25,100,0,0,25,25,25,0,0,,25,25,75,0,,25,75,100,100,50,100,75,,,0,0,75,75,100,25,50,25,75,50,50,100,75,75,75,0,25,100,75,100,50,50,75,100,75,75,75,75,50,50,50,100,80
Pennine Acute Hospitals NHS Trust,RW6,25,,50,100,100,100,100,75,100,100,100,50,0,100,100,75,100,100,75,75,100,25,75,100,68,75,100,75,75,75,100,20,100,50,0,50,100,100,50,100,75,75,25,25,75,75,0,0,0,80,25,,100,100,100,100,100,100,100,100,100,100,100,100,100,20,80,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,75,100,100,100,50,75,100,0,25,100,100,75,75,0,0,0,75,50,75,100,75,50,50,100,75,,50,50,50,0,,0,100,100,75,75,75,50,50,0,75,50,75,25,50,25,100,75,100,100,,100,0,100,75,,0,100,100,75,75,0,25,100,100,100,100,100,25,0,100,100,
Pennine Care NHS Foundation Trust,RT2,100,75,75,50,75,100,100,100,50,25,75,25,75,75,25,75,50,75,100,100,100,0,75,25,70,100,75,75,75,50,40,40,60,50,50,50,75,50,25,50,25,0,25,50,75,75,0,0,0,20,25,100,80,40,40,20,75,50,0,25,40,80,100,,100,20,,,,,,,,,0,,,,,,75,0,,75,0,0,0,0,,,0,0,0,,0,0,0,0,0,,0,0,,0,0,50,0,0,0,0,0,0,0,0,25,75,75,50,75,50,75,75,25,0,75,50,50,75,0,25,25,100,25,50,75,0,0,50,25,,57,0,,25,,0,75,25,75,0,25,100,100,100,75,50,100,75,25,,20,
Plymouth Hospitals NHS Trust,RK9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,20,20,20,50,50,50,75,75,75,75,75,75,50,0,50,0,25,25,25,20,75,,20,20,20,20,75,75,75,75,80,80,20,20,80,20,80,100,100,20,75,75,75,75,100,75,75,100,100,20,50,100,25,50,0,,80,,,,,,,,,,,,,,,,100,100,75,50,0,50,,,,,50,50,,50,50,75,25,,25,100,100,75,50,100,75,100,100,100,75,100,100,100,100,100,100,100,100,75,100,25,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,80
Poole Hospital NHS Foundation Trust,RD3,75,75,75,100,100,75,100,100,100,75,100,50,25,75,75,50,75,25,75,75,75,75,75,100,84,100,100,75,75,75,100,100,100,50,100,50,100,75,75,75,50,100,50,50,75,75,0,0,0,60,,,,20,20,60,50,75,75,75,60,80,100,100,20,20,20,100,100,40,100,50,25,25,20,0,0,100,100,80,75,75,25,100,0,20,20,20,25,25,25,25,25,0,25,25,25,25,75,0,0,25,100,100,75,75,75,25,25,25,25,25,75,75,,75,25,50,25,,25,25,0,0,0,75,25,,,75,75,75,75,75,75,75,25,100,75,100,100,0,0,75,75,0,100,0,75,25,50,75,100,100,75,75,100,75,75,0,40,
Portsmouth Hospitals NHS Trust,RHU,75,75,75,75,100,75,100,100,100,75,75,25,25,50,75,25,75,0,100,100,100,75,75,75,68,75,100,75,75,75,20,100,40,50,100,50,75,50,0,25,25,50,25,25,25,25,25,25,0,20,,,,40,20,20,75,100,75,25,80,100,20,0,20,20,20,80,20,20,50,75,50,25,20,25,25,100,100,100,75,25,25,50,25,20,0,0,,,0,0,0,75,0,0,0,0,0,0,0,0,20,20,25,25,75,0,0,0,0,0,75,25,,25,0,25,25,,0,100,75,25,0,50,0,,,75,50,75,25,50,50,75,0,50,50,0,85,25,25,100,0,0,25,100,25,50,75,75,100,100,100,25,75,75,75,75,20,
Princess Alexandra Hospital NHS Trust,RQW,75,75,100,100,100,100,100,100,75,75,75,75,25,75,75,100,75,100,100,75,75,25,75,75,68,75,100,75,75,100,20,60,,50,100,,75,75,25,50,25,25,75,25,25,25,75,0,0,20,,,,100,20,,75,75,100,100,80,100,100,100,80,80,80,80,80,20,75,100,100,25,100,100,75,100,100,100,100,100,50,100,75,20,100,20,0,0,25,75,100,50,100,0,25,0,0,25,0,0,20,0,0,75,100,0,75,75,50,50,75,75,,50,25,75,0,,0,100,50,0,0,100,0,,,75,75,100,100,100,100,100,50,100,100,100,85,50,75,75,75,25,100,0,100,100,75,100,100,100,75,75,75,75,75,50,100,
